601 6th Av,Medic Response,04/03/2016 05:35:00 PM +0000,47.604161,-122.328079,"(47.604161, -122.328079)",F160037329
7070 East Marginal Way S,Aid Response,04/03/2016 05:47:00 PM +0000,47.539666,-122.322298,"(47.539666, -122.322298)",F160037330
S Orcas St / Rainier Av S,Aid Response,04/03/2016 06:25:00 PM +0000,47.551176,-122.277664,"(47.551176, -122.277664)",F160037350
8954 Aurora Av N,Aid Response,04/03/2016 06:32:00 PM +0000,47.693853,-122.344561,"(47.693853, -122.344561)",F160037352
Sb I5 At Convention Center,MVI Freeway,04/03/2016 08:29:00 PM +0000,47.607412,-122.330402,"(47.607412, -122.330402)",F160037380
416 2nd Av Et  S,Aid Response,04/03/2016 09:06:00 PM +0000,47.601311,-122.33161,"(47.601311, -122.33161)",F160037387
2445 Nw 57th St,Aid Response,04/03/2016 09:43:00 PM +0000,47.670187,-122.388155,"(47.670187, -122.388155)",F160037399
Union St / 1st Av,Medic Response,04/03/2016 11:01:00 PM +0000,47.607828,-122.339105,"(47.607828, -122.339105)",F160037427
N 42nd St / Stone Way N,Aid Response,04/03/2016 11:16:00 PM +0000,47.658016,-122.342315,"(47.658016, -122.342315)",F160037433
1514 Sw Holden St,Aid Response,04/03/2016 11:34:00 PM +0000,47.533685,-122.354063,"(47.533685, -122.354063)",F160037437
500 Pine St,Medic Response,04/04/2016 12:40:00 AM +0000,47.611672,-122.336484,"(47.611672, -122.336484)",F160037463
10436 35th Av Sw,Automatic Fire Alarm Resd,04/04/2016 01:30:00 AM +0000,47.509024,-122.375902,"(47.509024, -122.375902)",F160037480
Sw Findlay St / Delridge Way Sw,Aid Response,04/04/2016 02:55:00 AM +0000,47.551918,-122.362988,"(47.551918, -122.362988)",F160037501
2100 Alaskan Way,Aid Response,04/04/2016 03:03:00 AM +0000,47.609994,-122.346301,"(47.609994, -122.346301)",F160037505
15th Av Ne / Ne 89th St,MVI - Motor Vehicle Incident,04/04/2016 05:33:00 AM +0000,47.693069,-122.312174,"(47.693069, -122.312174)",F160037566
3830 S Ferdinand St,Medic Response- 7 per Rule,04/04/2016 05:34:00 AM +0000,47.557847,-122.28456,"(47.557847, -122.28456)",F160037569
5554 33rd Av Ne,Medic Response,04/04/2016 08:09:00 AM +0000,47.668999,-122.292643,"(47.668999, -122.292643)",F160037612
Sw Cloverdale St / 29th Av Sw,Aid Response,04/04/2016 08:11:00 AM +0000,47.526476,-122.369905,"(47.526476, -122.369905)",F160037613
Wb I90 At I5,MVI Freeway,04/04/2016 09:10:00 AM +0000,47.595026,-122.31466,"(47.595026, -122.31466)",F160037626
801 Alaskan Way,Medic Response,04/04/2016 02:11:00 PM +0000,47.602348,-122.337148,"(47.602348, -122.337148)",F160037667
1902 2nd Av,Aid Response,04/05/2016 02:26:00 PM +0000,47.610972,-122.340465,"(47.610972, -122.340465)",F160038037
S Genesee St / Rainier Av S,Aid Response,04/05/2016 05:23:00 PM +0000,47.564095,-122.288186,"(47.564095, -122.288186)",F160038087
2717 Western Av,Auto Fire Alarm,04/05/2016 06:37:00 PM +0000,47.615227,-122.351628,"(47.615227, -122.351628)",F160038114
3808 Lake Washington Blvd S,Aid Response,04/05/2016 07:36:00 PM +0000,47.570024,-122.276751,"(47.570024, -122.276751)",F160038134
405 Olive Way,Aid Response,04/05/2016 08:12:00 PM +0000,47.612207,-122.338484,"(47.612207, -122.338484)",F160038153
1617 S Lane St,Aid Response,04/05/2016 08:45:00 PM +0000,47.59665,-122.311362,"(47.59665, -122.311362)",F160038174
2344 28th Av S,Aid Response,04/05/2016 10:06:00 PM +0000,47.582111,-122.296433,"(47.582111, -122.296433)",F160038213
